i,j,id,m,pabs,e
42,5,25,125,214.303,248.095
42,8,25,125,212.895,246.88
42,12,25,125,213.629,247.513
42,17,25,125,214.157,247.968
42,160,25,125,214.172,247.981
42,314,25,125,214.267,248.064
42,417,23,90.0126,170.103,192.45
42,418,23,33.4023,44.4647,55.6132
42,457,13,0.10566,48.4729,48.473
42,458,-13,0.10566,7.13945,7.14023
42,917,11,0.000511,26.5433,26.5433
42,1198,11,0.000511,0.115358,0.115359
42,1199,-11,0.000511,0.117631,0.117632
43,5,25,125.001,656.496,668.291
43,8,25,125.001,528.234,542.822
43,29,25,125.001,546.934,561.037
43,49,25,125.001,545.48,559.619
43,198,25,125.001,546.772,560.878
43,729,25,125.001,546.677,560.786
43,967,23,23.0559,88.9242,91.8645
43,968,23,91.5836,459.891,468.922
43,983,13,0.10566,77.4504,77.4505
43,984,-13,0.10566,391.471,391.471
43,2016,11,0.000511,0.969274,0.969274
43,2017,-11,0.000511,0.486359,0.48636
43,2071,11,0.000511,0.00612257,0.00614386
43,2072,-11,0.000511,1.42026,1.42026
43,2110,11,0.000511,0.0184983,0.0185053
43,2111,-11,0.000511,0.262056,0.262057
44,5,25,124.983,998.14,1005.93
44,8,25,124.983,922.307,930.737
44,12,25,124.983,918.338,926.804
44,17,25,124.983,919.256,927.714
44,56,25,124.983,919.234,927.692
44,74,23,28.108,216.004,217.826
44,75,23,89.6388,704.184,709.866
44,76,11,0.000511,202.995,202.995
44,77,-11,0.000511,14.8301,14.8301
