i,j,id,m,px,py,pz
742,736,13,0.10566,-44.0421,20.2261,-486.412
742,737,-13,0.10566,25.8718,7.17028,-55.8048
742,738,13,0.10566,-44.035,20.2221,-486.34
742,740,-13,0.10566,25.8718,7.17027,-55.8048
742,1612,13,0.10566,1.12322,1.00457,0.417342
742,1613,-13,0.10566,0.564903,0.0335477,0.464436
742,1772,11,0.000511,-0.112075,0.00385662,0.786817
742,1773,-11,0.000511,-0.0368282,0.000481139,0.253941
743,672,13,0.10566,19.497,19.7413,41.6256
743,673,-13,0.10566,4.53188,-10.9815,44.7809
743,674,13,0.10566,19.4963,19.7409,41.6245
743,676,-13,0.10566,4.53188,-10.9815,44.7809
743,1437,11,0.000511,-0.0767998,0.0396473,0.0132722
743,1438,-11,0.000511,0.00429279,-0.0143736,0.0132871
744,382,11,0.000511,4.94545,-11.5382,-30.3715
744,383,-11,0.000511,-90.4913,-104.892,-1725.01
744,384,-11,0.000511,-74.7605,-75.3155,-1339.84
744,386,11,0.000511,4.69669,-10.9578,-28.8437
744,387,11,0.000511,4.6439,-10.9212,-28.7159
744,389,-11,0.000511,-74.7579,-75.3129,-1339.8
744,970,11,0.000511,-0.0383604,-0.0202067,-0.151828
744,971,-11,0.000511,-0.119418,-0.095633,-0.374583
744,980,11,0.000511,0.0182219,0.139654,-0.42752
744,981,-11,0.000511,-0.00671335,0.124208,-0.503855
745,546,11,0.000511,47.5378,-12.6294,143.379
745,547,-11,0.000511,-27.1835,-62.749,303.393
745,548,-11,0.000511,-27.1835,-62.749,303.393
745,550,11,0.000511,47.5378,-12.6294,143.379
745,1099,11,0.000511,-0.152227,0.00878244,24.8857
745,1100,-11,0.000511,-0.400955,0.0231126,65.1543
745,1110,11,0.000511,0.385782,0.726582,-7.63317
745,1111,-11,0.000511,0.10029,0.188573,-1.98716
746,548,13,0.10566,1.18001,-2.06055,27.3335
746,549,-13,0.10566,-6.3775,-8.45863,-5.92694
746,1228,11,0.000511,0.286829,0.0109282,-0.0813338
746,1229,-11,0.000511,0.0701836,0.0030537,-0.0199498
747,650,15,1.77682,-8.26207,14.6223,-0.2897
747,651,-15,1.77682,-18.6779,-24.8416,236.019
747,1109,13,0.10566,-4.37609,8.46276,0.179774
747,1112,-11,0.000511,-3.81076,-4.94794,42.6936
747,1298,11,0.000511,0.200814,0.0382559,35.0318
747,1299,-11,0.000511,0.689931,0.130089,120.253
748,613,11,0.000511,0.77737,-0.265741,12.2743
748,614,-11,0.000511,25.872,18.8178,-12.7568
748,615,11,0.000511,0.768898,-0.266237,12.1895
748,617,-11,0.000511,25.872,18.8178,-12.7568
748,618,11,0.000511,0.768895,-0.26623,12.1893
748,620,-11,0.000511,25.872,18.8178,-12.7568
748,1139,11,0.000511,0.018408,0.03305,-4.09461
748,1140,-11,0.000511,0.00267699,-0.0050031,-0.059967
748,1169,11,0.000511,-0.0245159,-0.00296224,-0.102265
748,1170,-11,0.000511,-0.0842078,-0.00605833,-0.301373
749,954,15,1.77682,-3.62321,12.9672,-3.87627
749,955,-15,1.77682,-3.05555,-9.09128,-52.6992
749,1748,11,0.000511,-2.85338,7.8088,-2.53444
749,1758,-11,0.000511,-0.602399,0.293497,-0.287641
749,2044,11,0.000511,-0.00709022,-0.0505715,0.0933374
749,2045,-11,0.000511,-0.00610333,-0.0357813,0.0669666
749,2103,11,0.000511,0.0545244,-0.0738932,0.396796
749,2104,-11,0.000511,0.307641,-0.383973,2.07393
749,2319,11,0.000511,0.110883,-0.00171033,0.0438441
749,2320,-11,0.000511,0.0362285,-0.000314463,0.0139455
750,613,13,0.10566,10.5147,-4.1418,36.8648
